u,v,key,flow,capacity,v_c,delay
1882266675,1882266679,0,5403.037459855527,1.0,5403.037459855527,6.906867932524698e+17
1882266679,1947004343,0,5171.068096278673,1.0,5171.068096278673,5.5461619065721805e+17
1947004343,1882266684,0,4964.484945368098,1.0,4964.484945368098,4.5233714158794496e+17
271812481,1882266675,0,4759.165714882466,1.0,4759.165714882466,3.6622281400718214e+17
1033359701,1033359915,0,4759.165714882466,1.0,4759.165714882466,3.6622281400718214e+17
1033359915,271812481,0,4759.165714882466,1.0,4759.165714882466,3.6622281400718214e+17
4283347855,1033359701,0,4759.165714882466,1.0,4759.165714882466,3.6622281400718214e+17
5292700111,1882266709,0,3574.6753724048112,1.0,3574.6753724048112,8.755365895628758e+16
271823352,271823349,0,3515.4277001509186,1.0,3515.4277001509186,8.053452683340291e+16
1927155335,1033359888,0,3507.563636198165,1.0,3507.563636198165,7.963776330490038e+16
1109617127,5105174587,0,2887.858522277042,1.0,2887.858522277042,3.0128036204732036e+16
1639802246,5079806047,0,2887.858522277042,1.0,2887.858522277042,3.0128036204732036e+16
3656887991,1639802246,0,2887.858522277042,1.0,2887.858522277042,3.0128036204732036e+16
5079806047,1639802274,0,2887.858522277042,1.0,2887.858522277042,3.0128036204732036e+16
5105174587,3656887991,0,2887.858522277042,1.0,2887.858522277042,3.0128036204732036e+16
1927155345,4283347855,0,2817.0472486326976,1.0,2817.0472486326976,2.661104412451362e+16
1967799955,1927155345,0,2810.7661833039983,1.0,2810.7661833039983,2.6315695848723236e+16
271986480,5292575723,0,2802.707518074505,1.0,2802.707518074505,2.5940608034525936e+16
1882266684,271986480,0,2802.707518074505,1.0,2802.707518074505,2.5940608034525936e+16
5292575723,5292575722,0,2802.707518074505,1.0,2802.707518074505,2.5940608034525936e+16
5292575722,271986646,0,2793.323987101469,1.0,2793.323987101469,2.550925722415304e+16
1882266687,4283312617,0,2773.036874657013,1.0,2773.036874657013,2.4596283064507976e+16
303246975,1967799972,0,2757.620567623144,1.0,2757.620567623144,2.392014494632324e+16
1967799912,1967799965,0,2733.1942047444427,1.0,2733.1942047444427,2.2879351741436564e+16
1967799965,1967799955,0,2733.1942047444427,1.0,2733.1942047444427,2.2879351741436564e+16
1967799972,1967799912,0,2733.1942047444427,1.0,2733.1942047444427,2.2879351741436564e+16
3456873832,271802935,0,2708.8950148287013,1.0,2708.8950148287013,2.188024239323705e+16
271802935,5081882369,0,2622.429863295976,1.0,2622.429863295976,1.860418580522381e+16
5081882369,271802937,0,2622.429863295976,1.0,2622.429863295976,1.860418580522381e+16
5292575117,271986672,0,2523.95909399341,1.0,2523.95909399341,1.5363947659286772e+16
303291457,303291459,0,2372.2564973449025,1.0,2372.2564973449025,1.1269365977554296e+16
303291459,5318904038,0,2372.2564973449025,1.0,2372.2564973449025,1.1269365977554296e+16
271986646,5292575116,0,2346.130281604335,1.0,2346.130281604335,1.0662324211709018e+16
5292575116,271993255,0,2346.130281604335,1.0,2346.130281604335,1.0662324211709018e+16
271822067,271823243,0,2339.4919778554045,1.0,2339.4919778554045,1.0512331816152026e+16
271802937,1791647090,0,2317.5295329530795,1.0,2317.5295329530795,1.0028076654007138e+16
1791647067,4284327639,0,2317.5295329530795,1.0,2317.5295329530795,1.0028076654007138e+16
1791647090,4283330638,0,2317.5295329530795,1.0,2317.5295329530795,1.0028076654007138e+16
4283330638,4283330654,0,2317.5295329530795,1.0,2317.5295329530795,1.0028076654007138e+16
4283330654,4283330659,0,2317.5295329530795,1.0,2317.5295329530795,1.0028076654007138e+16
4283330659,5081895367,0,2317.5295329530795,1.0,2317.5295329530795,1.0028076654007138e+16
4284327639,271824154,0,2317.5295329530795,1.0,2317.5295329530795,1.0028076654007138e+16
5081895367,1791647067,0,2317.5295329530795,1.0,2317.5295329530795,1.0028076654007138e+16
250656101,1790494663,0,2295.8040459488648,1.0,2295.8040459488648,9566770234881884.0
1790494663,3704167985,0,2295.8040459488648,1.0,2295.8040459488648,9566770234881884.0
5318904038,250656101,0,2295.8040459488648,1.0,2295.8040459488648,9566770234881884.0
1882266684,5292700111,0,2267.76577920798,1.0,2267.76577920798,8996679438746340.0
271823349,303291328,0,2218.534947857499,1.0,2218.534947857499,8061625718997273.0
303291325,303291457,0,2218.534947857499,1.0,2218.534947857499,8061625718997273.0
303291328,303291325,0,2218.534947857499,1.0,2218.534947857499,8061625718997273.0
